SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,NETMIG2010,NETMIG2011,NETMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,RBIRTH2011,RBIRTH2012,RDEATH2011,RDEATH2012,RNATURALINC2011,RNATURALINC2012,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RDOMESTICMIG2011,RDOMESTICMIG2012,RNETMIG2011,RNETMIG2012
50,1,2,36,115,New York,Washington County,63216,63216,63282,62997,62934,66,-285,-63,147,626,612,145,630,627,2,-4,-15,2,8,12,65,-282,-57,67,-274,-45,-3,-7,-3,3164,3164,3090,3157,9.914554281,9.719608357,9.977906065,9.957834052,-0.063351785,-0.238225695,0.126703569,0.190580556,-4.46630081,-0.905257641,-4.339597241,-0.714677085
50,1,2,36,117,New York,Wayne County,93772,93772,93754,93284,92962,-18,-470,-322,245,1026,1034,198,820,803,47,206,231,14,55,59,-78,-695,-610,-64,-640,-551,-1,-36,-2,1390,1390,1320,1345,10.97103262,11.10359417,8.768271688,8.623003984,2.202760936,2.480590187,0.588115784,0.633570654,-7.431644906,-6.550476252,-6.843529122,-5.916905598
50,1,2,36,119,New York,Westchester County,949113,949113,950676,957137,961670,1563,6461,4533,2815,10951,10566,1491,6932,6925,1324,4019,3641,1069,4717,4880,-725,-2108,-3933,344,2609,947,-105,-167,-55,28704,28704,28732,28694,11.48016079,11.01309303,7.266959602,7.218026618,4.213201189,3.795066414,4.944929089,5.086493848,-2.209860191,-4.099422193,2.735068898,0.987071654
50,1,2,36,121,New York,Wyoming County,42155,42153,42090,41959,41892,-63,-131,-67,91,414,391,106,364,327,-15,50,64,4,20,21,-48,-205,-148,-44,-185,-127,-4,4,-4,3961,3961,3974,3966,9.851396209,9.326066475,8.661614059,7.7995492,1.189782151,1.526517275,0.47591286,0.500888481,-4.878106819,-3.530071198,-4.402193958,-3.029182717
50,1,2,36,123,New York,Yates County,25348,25348,25340,25415,25344,-8,75,-71,77,337,342,65,245,261,12,92,81,0,11,11,-20,-33,-164,-20,-22,-153,0,5,1,1287,1287,1372,1372,13.27947985,13.47544278,9.654221259,10.28389054,3.625258595,3.191552237,0.433454832,0.433420674,-1.300364496,-6.461908233,-0.866909664,-6.028487559
40,3,5,37,0,North Carolina,North Carolina,9535483,9535471,9559048,9651103,9752073,23577,92055,100970,30311,119745,120432,19542,79455,79944,10769,40290,40488,5547,18427,26465,7288,31207,33641,12835,49634,60106,-27,2131,376,257246,257246,254922,254922,12.4668463,12.41363785,8.272189011,8.240300454,4.194657293,4.173337396,1.918464878,2.727903927,3.249011421,3.467576648,5.167476299,6.195480575
50,3,5,37,1,North Carolina,Alamance County,151131,151087,151470,152801,153920,383,1331,1119,464,1718,1753,336,1426,1452,128,292,301,56,198,211,197,864,621,253,1062,832,2,-23,-14,4229,4229,4278,4278,11.29256485,11.43058349,9.373223212,9.467887755,1.91934164,1.96269574,1.301471386,1.375843193,5.679147865,4.049282573,6.980619251,5.425125766
50,3,5,37,3,North Carolina,Alexander County,37198,37193,37234,37092,36853,41,-142,-239,92,346,349,95,327,344,-3,19,5,2,18,17,50,-196,-262,52,-178,-245,-8,17,1,1161,1161,1151,1151,9.310335549,9.439448239,8.799074348,9.30421259,0.511261201,0.135235648,0.484352716,0.459801204,-5.274062912,-7.086347961,-4.789710196,-6.626546758
50,3,5,37,5,North Carolina,Alleghany County,11155,11155,11148,11013,10927,-7,-135,-86,25,88,94,41,128,127,-16,-40,-33,1,4,4,8,-98,-57,9,-94,-53,0,-1,0,111,111,108,108,7.941879879,8.568824066,11.55182528,11.57702826,-3.6099454,-3.008204193,0.36099454,0.364630811,-8.844366229,-5.195989061,-8.483371689,-4.83135825
50,3,5,37,7,North Carolina,Anson County,26948,26948,26879,26512,26351,-69,-367,-161,68,275,258,88,309,278,-20,-34,-20,1,5,5,-49,-350,-148,-48,-345,-143,-1,12,2,2484,2484,2479,2479,10.30136165,9.761080529,11.57498455,10.51775344,-1.273622895,-0.756672909,0.187297485,0.189168227,-13.11082392,-5.599379528,-12.92352644,-5.410211301
